,Unnamed: 0,temp,humidity,tempmax,tempmin,cloudcover,solarradiation,dew
44,44,84.9,80.7,92.1,78.1,68,216.3,78.1
45,45,86.9,79.8,93.2,82.1,42.3,236,79.7
46,46,85.4,81.1,93.2,77,55.3,256.1,78.7
47,47,85,79.9,96.8,77,55.2,294.7,77.7
48,48,84.5,80.6,95,75.2,53.3,279.3,77.6
49,49,84.7,80.1,93.9,78.8,69.2,277.9,77.6
50,50,84.7,81.2,95,78.8,69,253.8,77.9
51,51,85.7,77.5,93.7,78.2,54.7,229.6,77.5
52,52,84.1,80.5,95,77,64.9,229.2,76.9
53,53,85.9,79.6,95,79.2,59.3,222.1,78.4
54,54,86.8,75.9,95,81,49,221.5,77.9
