,Unnamed: 0,temp,humidity,cloudcover,tempmax,tempmin,dew,solarradiation
365,365,54.1,86.8,61.2,59.3,50.3,50.2,283.2
366,366,53.1,86.9,55.2,57.5,48.8,49.2,270.2
367,367,53.7,87.6,,,,,
368,368,53.2,84.8,,,,,
369,369,52.4,84.9,,,,,
370,370,51.1,84.6,,,,,
371,371,54.5,77.3,,,,,
372,372,54.7,84.1,,,,,
373,373,55.4,83.8,,,,,
374,374,56.1,81.8,,,,,
375,375,55.5,80.8,,,,,
376,376,55.7,75.6,,,,,
377,377,54.5,82.3,,,,,
378,378,52.6,91,,,,,
379,379,51.9,83.6,,,,,
380,380,50.8,88.1,,,,,
381,381,50.5,85.9,,,,,
